CD_DEPT;CD_NOM;NOM_CITE;DUREE;CODAGE;AUTRE;CD_SL;CD_OCC_STATUT_BIOLOGIQUE
95;79300;Myotis brandtii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;79300;Myotis brandtii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;79299;Myotis alcathoe;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;79299;Myotis alcathoe;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;79299;Myotis alcathoe;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;79298;Myotis punicus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;79298;Myotis punicus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;79298;Myotis punicus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;60527;Plecotus austriacus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;60527;Plecotus austriacus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;60527;Plecotus austriacus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;60518;Plecotus auritus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;60518;Plecotus auritus;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;78164;Vipera ursinii;;1;;9;
95;159453;Cottus petiti;20;2;;9;
95;67534;Misgurnus fossilis;20;2;;9;
95;94041;Cypripedium calceolus;;1;;9;
95;3638;Picoides tridactylus;1;1;uniquement si observation de nidification ;9;3
95;3076;Grus grus;10;3;uniquement si observation de nidification ;9;3
95;2964;Tetrao urogallus;20;1;Place de chant, lek.;9;3
95;2852;Gypaetus barbatus;10;2;uniquement si observation de nidification ?;9;3
95;2848;Haliaeetus albicilla;10;3;uniquement si observation de nidification ;9;3
95;2655;Hieraaetus fasciatus;10;3;uniquement si observation de nidification ;9;3
95;2636;Aquila pomarina;10;3;uniquement si observation de nidification ;9;3
95;2514;Ciconia nigra;10;3;uniquement si observation de nidification ;9;3
95;2869;Aegypius monachus;10;2;uniquement si observation de nidification;9;3
95;64437;Margaritifera auricularia;20;2;;9;
95;64435;Margaritifera margaritifera;20;2;;9;
95;200118;Myotis daubentonii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;200118;Myotis daubentonii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;200118;Myotis daubentonii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;163463;Plecotus macrobullaris;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;163463;Plecotus macrobullaris;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
95;163463;Plecotus macrobullaris;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;3
95;79305;Miniopterus schreibersii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;7
95;79305;Miniopterus schreibersii;;2;Gîtes hypogés et fortifications (données de détection acoustique non sensibles);9;4
